,contributor_name,counts
0,nouiz,9130
1,lamblin,2484
2,abergeron,2337
3,jaberg,1978
4,Olivier Delalleau,1201
5,pascanur,1054
6,goodfeli,755
7,carriepl,671
8,breuleux,507
9,notoraptor,461
10,dwf,398
11,harlouci,372
12,João Victor Tozatti Risso,279
13,royxue,213
14,turian,192
15,abalkin,188
16,affanv14,183
17,slefrancois,178
18,Sentient07,173
19,ReyhaneAskari,165
20,ChienliMa,164
21,Amrithasuresh,161
22,ballasn,147
23,gvtulder,142
24,gdesjardins,139
25,Jeremie Tanguay,120
26,aalmah,118
27,Hengjean,111
28,jlowin,107
29,NicolasBouchard,106
30,khaotik,105
31,Benjamin Scellier,103
32,caglar,103
33,Sina Honari,101
34,aam-at,96
35,f0k,92
36,cooijmanstim,91
37,mrocklin,90
38,mohammadpz,89
39,larseeri,87
40,daemonmaker,87
41,ynd,83
42,Thrandis,73
43,cangermueller,63
44,yaoli,62
45,ChihebTrabelsi,61
46,hantek,60
47,shawntan,60
48,t13m,59
49,adbrebs,57
50,josharian,51
51,chinnadhurai,50
52,Saizheng,49
53,doomie,47
54,jsalvatier,46
55,harm-devries,45
56,shabanian,45
57,tfjgeorge,42
58,julianser,41
59,sisp,40
60,fvisin,40
61,Francois Savard,40
62,MarcCote,37
63,sebastien-j,36
64,vikramnitin9,35
65,vdumoulin,35
66,bartvm,35
67,Faruk-Ahmed,34
68,Melanie Ducoffe,34
69,olimastro,30
70,manzagop,30
71,dmitriy-serdyuk,30
72,alexmlamb,28
73,mgermain,27
74,viveksck,27
75,bouthilx,26
76,HapeMask,25
77,kelvinxu,25
78,projects@lgcm,25
79,yingzha,24
80,Nan Rosemary Ke,24
81,Valentin Bisson,23
82,matt-graham,20
83,stencilman,19
84,kmike,19
85,Yoshua Bengio,18
86,rmcgibbo,18
87,shackenberg,18
88,erakra,17
89,simlmx,17
90,AlOa,16
91,vmichals,16
92,laurent-dinh,16
93,sygi,16
94,wonghang,16
95,Andrei Costinescu,16
96,glorotxa,15
97,JesseLivezey,14
98,aboSamoor,14
99,borisfom,14
100,rebecca-palmer,13
101,Thomas Mesnard,12
102,saebrahimi,12
103,xiaoqie,11
104,jhelie,11
105,Guillaume Alain,11
106,botev,11
107,hamelphi,11
108,Tegan Maharaj,10
109,bordesf,10
110,fay85,10
111,swook,10
112,kvmanohar22,10
113,nicholas-leonard,9
114,craffel,9
115,memimo,9
116,herr-biber,9
117,kyunghyuncho,8
118,orhanf,8
119,juancamilog,8
120,ruslanagit,8
121,taesupkim,8
122,ciyongch,7
123,xoltar,7
124,anirudh9119,7
125,yobibyte,7
126,vipulraheja,7
127,lucasb-eyer,7
128,yikangshen,7
129,benanne,7
130,gwtaylor,6
131,kumarkrishna,6
132,justanhduc,6
133,diogo149,6
134,gokul-uf,6
135,jia-kai,6
136,danielrenshaw,6
137,ozancaglayan,6
138,seanprime7,6
139,paulfchristiano,6
140,TimSalimans,6
141,boulanni,6
142,bbudescu,6
143,twiecki,6
144,Peng Liu,6
145,GSam,6
146,Julien Rebetez,6
147,cocu,6
148,happygds,5
149,andreh12,5
150,Steven Pigeon,5
151,surban,5
152,moslemk,5
153,Firstname Lastname,5
154,mockingjamie,5
155,gw0,5
156,Saxenauts,5
157,shubhvachher,5
158,yosinski,5
159,skaae,5
160,mingwandroid,5
161,douglaseck,5
162,mbeissinger,5
163,jdemouth,5
164,HaniAlmousli,5
165,IshmaelBelghazi,4
166,remyleone,4
167,Liwei Cai,4
168,kashif,4
169,Michael I Mandel,4
170,jey,4
171,SuperElectric,4
172,mcfletch,4
173,317070,4
174,ieee8023,4
175,rizar,4
176,RadhikaG,4
177,zploskey,4
178,vesis84,4
179,uralik,4
180,npinto,4
181,noskill,4
182,mronian,4
183,bayerj,4
184,tsirif,4
185,Daren Eiri,4
186,Laboratoire d'Informatique des Systemes Adaptatifs,4
187,pfk-beta,3
188,benathi,3
189,Micky Latowicki,3
190,YangZhang4065,3
191,waiwnf,3
192,briancheung,3
193,jeffdonahue,3
194,Balázs Hidasi,3
195,jbornschein,3
196,ddtm,3
197,MartinThoma,3
198,mjwillson,3
199,xeray,3
200,ebuchman,3
201,Erotemic,3
202,Alassane Ndiaye,3
203,Krastanov,3
204,medakk,3
205,Kaixhin,3
206,aseyboldt,3
207,ziyuang,3
208,hroncok,3
209,kirillbobyrev,3
210,rpgoldman,3
211,peterjsadowski,2
212,yarikoptic,2
213,John Zedlewski,2
214,mesnilgr,2
215,AnishShah,2
216,mangwang,2
217,Glexin,2
218,rodluger,2
219,mharradon,2
220,matthias-k,2
221,poolio,2
222,mdda,2
223,Cory Lorenz,2
224,Eric Hunsberger,2
225,mrTsjolder,2
226,martinarjovsky,2
227,thiboeri,2
228,scottsievert,2
229,PhNyx,2
230,ivdorelian,2
231,sibleyd,2
232,Thierry Bertin-Mahieux,2
233,Wojciech Głogowski,2
234,acganesh,2
235,viirya,2
236,ghisvail,2
237,spotted1234,2
238,fo40225,2
239,flashus,2
240,srambhatla,2
241,ejls,2
242,benmccann,2
243,dfm,2
244,timgasper,2
245,deltaz0,2
246,tete1030,2
247,jan-matthis,2
248,hojonathanho,2
249,jojolalpin,2
250,wyjw,2
251,joschu,2
252,Nan Jiang,2
253,wazeerzulfikar,2
254,Morgan243,2
255,sergii-gavrylov,2
256,Luke Metz,2
257,yzotov,1
