,contributor_name,counts
0,blink1073,7212
1,afshin,3665
2,jasongrout,2928
3,ian-r-rose,1241
4,Steven Silvester,1024
5,jtpio,911
6,ellisonbg,770
7,telamonian,572
8,saulshanabrook,562
9,echarles,285
10,KsavinN,270
11,vidartf,250
12,cameronoelsen,195
13,gnestor,162
14,zuoyuanh,160
15,fcollonval,159
16,kgryte,132
17,dwillmer,132
18,sccolbert,127
19,markellekelly,119
20,marthacryan,96
21,mbektas,94
22,krassowski,85
23,JohanMabille,78
24,bollwyvl,76
25,willingc,75
26,jzf2101,74
27,charnpreetsingh,71
28,aschlaep,71
29,akosyakov,61
30,github-actions[bot],54
31,ivanov,52
32,SylvainCorlay,51
33,Bo Peng,46
34,faricacarroll,45
35,Hana Zarea,42
36,KrzysztofSikoraCodete,42
37,eskirk,41
38,minrk,40
39,AlbertHilb,38
40,goanpeca,38
41,yuvipanda,37
42,AbdealiJK,34
43,spoorthyv,32
44,ajbozarth,30
45,Frederic Collonval,30
46,tgeorgeux,29
47,edzkite,27
48,danielballan,26
49,mnowacki-b,25
50,Madhu94,24
51,martinRenou,24
52,hbcarlos,24
53,ianhi,23
54,alexandercbooth,23
55,rnetro,23
56,parente,23
57,Zsailer,22
58,tslaton,22
59,dharmaquark,21
60,stefansimik,21
61,jess-x,20
62,lresende,19
63,cmprince,19
64,nathanpage-credo,19
65,karlaspuldaro,18
66,Marc Udoff,18
67,domoritz,17
68,Carreau,16
69,roshancvp,16
70,mpacer,14
71,ohrely,14
72,0.618,14
73,groutr,12
74,ryantberg,12
75,declanvk,12
76,Queuecumber,12
77,rahulnexus,12
78,dmonad,12
79,gcbeltramini,11
80,futurist,11
81,tibdex,11
82,ayr0,11
83,mgeier,10
84,rgbkrk,10
85,jd41,10
86,OneRaynyDay,10
87,apsknight,10
88,manuel-ruiz-23,10
89,davidrthorn,10
90,choldgraf,10
91,jirivrany,9
92,mflevine,9
93,reevejd,9
94,lheagy,9
95,DianeHu,9
96,3coins,9
97,bw-space,9
98,cquah,8
99,ntdef,8
100,quangIO,8
101,dsblank,8
102,dependabot[bot],8
103,tonyfast,8
104,benthayer,7
105,fperez,7
106,fasiha,7
107,dhirschfeld,7
108,kcramer,7
109,SimonBiggs,7
110,lmcnichols,7
111,markroth8,7
112,AlexTugarev,7
113,BoPeng,7
114,richagadgil,7
115,perrinjerome,7
116,loichuder,7
117,jennalandy,6
118,timkpaine,6
119,ibdafna,6
120,tiangolo,6
121,commandlinegirl,6
122,Nicholas Bollweg,6
123,mlucool,6
124,palewire,6
125,joelostblom,5
126,Piyush Jain,5
127,zerline,5
128,cameron-toy,5
129,samvasko,5
130,bsyouness,5
131,flying-sheep,5
132,andrewfulton9,5
133,krinsman,5
134,ggbhat,5
135,isabela-pf,5
136,drorspei,4
137,meeseeksmachine,4
138,dakoop,4
139,yunair,4
140,wonsjb,4
141,hjoo,4
142,0618,4
143,recamshak,4
144,jweill-aws,4
145,Jaipreet Singh,4
146,Daniel Marth,4
147,Jessica Xu,4
