,contributor_name,counts
0,tacaswell,5715
1,mdboom,3918
2,anntzer,3685
3,QuLogic,3184
4,timhoffm,2573
5,jdh2358,2145
6,jklymak,2114
7,efiring,1941
8,dstansby,1729
9,NelleV,875
10,jenshnielsen,855
11,WeatherGod,621
12,dopplershift,582
13,pelson,490
14,jkseppan,475
15,ddale,442
16,leejjoon,427
17,dmcdougall,304
18,astraw,272
19,Steve Chaplin,263
20,phobson,261
21,story645,242
22,cgohlke,173
23,afvincent,163
24,tonysyu,162
25,ericmjl,161
26,blink1073,151
27,cmoad,149
28,Kojoley,144
29,ImportanceOfBeingErnest,128
30,ivanov,124
31,jankatins,117
32,fariza,107
33,pwuertz,95
34,ianthomas23,88
35,choldgraf,87
36,cimarronm,85
37,thisch,81
38,ericpre,76
39,richardsheridan,65
40,James R. Evans,64
41,ianhi,64
42,jswhit,60
43,rougier,59
44,mdehoon,58
45,zblz,58
46,mgiuca-google,57
47,greglucas,56
48,matthew-brett,56
49,mmetz-bn,53
50,eric-wieser,52
51,meeseeksmachine,51
52,montefra,50
53,Carreau,50
54,dhyams,49
55,NNemec,48
56,endolith,46
57,DietmarSchwertberger,44
58,Tortar,42
59,pkienzle,42
60,jaytmiller,42
61,aitikgupta,42
62,brunobeltran,41
63,patniharshit,39
64,megies,38
65,mspacek,37
66,joferkington,36
67,astrofrog,35
68,larsoner,33
69,pganssle,32
70,toddrjen,31
71,bcongdon,29
72,Paul Barret,29
73,sasoripathos,29
74,maxnoe,28
75,neggert,28
76,katyhuff,28
77,SidharthBansal,28
78,deep-jkl,28
79,Alexis Bienvenüe,27
80,pharshalp,26
81,domspad,26
82,immaxchen,25
83,johan12345,25
84,maxalbert,24
85,sargas,24
86,madphysicist,24
87,fredrik-1,23
88,OceanWolf,23
89,bingyao,23
90,seehuhn,23
91,mattip,23
92,heeres,22
93,Federico Ariza,22
94,Xarthisius,22
95,alexrudy,22
96,jrmlhermitte,22
97,yozhikoff,22
98,mrterry,22
99,astromancer,21
100,edin1,21
101,vlas-sokolov,21
102,esvhd,21
103,ryanbelt,21
104,tomspur,21
105,Alejandro García,20
106,vollbier,20
107,l-johnston,20
108,Tillsten,20
109,jakevdp,19
110,Carsten Schelp,19
111,ShawnChen1996,18
112,lpsinger,18
113,andrzejnovak,18
114,ngoldbaum,17
115,smartlixx,17
116,DanHickstein,17
117,rth,17
118,chebee7i,17
119,jb-leger,16
120,teoliphant,16
121,dmkaplan2000,16
122,cclauss,16
123,jpmattern,16
124,kbrose,16
125,forrestm,16
126,bastibe,16
127,fperez,16
128,TrishGillett,16
129,petehuang,15
130,sameerd,15
131,sameshl,15
132,Vlas Sokolov,15
133,perimosocordiae,14
134,DCtheTall,14
135,jeromefv,14
136,HHest,14
137,jbmohler,14
138,sauerburger,14
139,gstorer,14
140,dorafc,14
141,breedlun,14
142,sfroid,14
143,Umair Idris,14
144,lkjell,13
145,larrybradley,13
146,bellmj,13
147,ericdill,13
148,bjcohen,13
149,JGoutin,13
150,minrk,13
151,Westacular,13
152,dkua,13
153,sindunuragarp,13
154,tobias47n9e,13
155,kdavies4,13
156,Joseph Albert,13
157,Kislovskiy,13
158,rtrwalker,13
159,mfitzp,12
160,Benedikt Daurer,12
161,basharovV,12
162,heathhenley,12
163,ksunden,12
164,hamogu,12
165,luzpaz,12
166,Zac-HD,12
167,lennart0901,12
168,glielens,12
169,txxia,12
170,memmett,12
171,piti118,12
172,omsitapara23,12
173,Tuan Dung Tran,12
174,CharlesHe16,12
175,stefanv,12
176,solvents,11
177,salindersidhu,11
178,gzahl,11
179,alvarosg,11
180,bakes,11
181,taehoonlee,11
182,wernerfb,11
183,fmaussion,11
184,GBillotey,11
185,DangoMelon,11
186,mpetroff,11
187,tonyyli,11
188,TarasKuzyo,10
189,GregoryAshton,10
190,vallsv,10
191,evanberkowitz,10
192,productivememberofsociety666,10
193,jbbrokaw,10
194,has2k1,10
195,kthyng,10
196,sirlittle,10
197,jmehne,10
198,nschloe,10
199,tillahoffmann,10
200,asafmaman101,9
201,TD22057,9
202,jfbu,9
203,dmgt,9
204,jamienunez,9
205,bdice,9
206,ajdawson,9
207,alimuldal,9
208,kir0ul,9
209,kmader,9
210,kshramt,9
211,bduick,9
212,Stefan-Mitic,9
213,DrNightmare,9
214,tomneep,9
215,sveneschlbeck,9
216,takimata,9
217,yeosingng,8
218,pibion,8
219,naoyak,8
220,PhilipSchiff,8
221,anykraus,8
222,kaufman,8
223,trpham,8
224,jrjohansson,8
225,johnthagen,8
226,dabana,8
227,adrn,8
228,rasbt,8
229,Kent,8
230,Michael Welter,8
231,rohit-rawat-amdocs,8
232,dmatos2012,8
233,LindyBalboa,8
234,ecotner,8
235,embray,8
236,Brian Mattern,8
237,AkM-2018,8
238,Marek Rudnicki,8
239,weichensw,8
240,Francis Colas,8
241,hmeine,7
242,yuvallanger,7
243,Paul Ganssle,7
244,tropfcode,7
245,bensullivan2,7
246,bgamari,7
247,theOehrly,7
248,casperdcl,7
249,cfackler,7
250,prasadve,7
251,inclement,7
252,Neil,7
253,anushkrishnav,7
254,magnunor,7
255,harupy,7
256,soininen,7
257,matejak,7
258,gepcel,7
259,gcallah,7
260,Vedant Nanda,7
261,samsontmr,7
262,fgb,7
263,Cadair,7
264,rnelsonchem,7
265,jhelie,7
266,khyox,7
267,akhmerov,7
268,yymao,7
269,HastingsGreer,6
270,mineo,6
271,jgehrcke,6
272,oxling,6
273,paulkirow,6
274,jdeblese,6
275,Abdul-Miraj,6
276,DaveL17,6
277,leeonadoh,6
278,fourpoints,6
279,swfiua,6
280,Molly Rossow,6
281,itziakos,6
282,klaragerlei,6
283,dcmarcu,6
284,Raab70,6
285,devashishd12,6
286,hoodmane,6
287,muahah,6
288,divyam3897,6
289,mobando,6
290,smithsp,6
291,stefraynaud,6
292,s0vereign,6
293,sptm,6
294,gpoulter,6
295,Nicolas Courtemanche,6
296,pgierz,6
297,sohero,6
298,NinadBhat,6
299,newville,6
300,abhinavsagar,6
301,joelostblom,6
302,CamDavidsonPilon,6
303,J. Scott Berg,6
304,ugurthemaster,6
305,lichri12,5
306,gatagat,5
307,huard,5
308,kinshukdua,5
309,ultra-andy,5
310,Jan S. (Milania1),5
311,Ken McIvor,5
312,RutgerK,5
313,vlsd,5
314,duncanmmacleod,5
315,hershen,5
316,stonebig,5
317,diegopetrola,5
318,AlexHarn,5
319,rlung,5
320,kpalin,5
321,ahcub,5
322,Steven Munn,5
323,stilley2,5
324,martinRenou,5
325,habi,5
326,khchan,5
327,vidursatija,5
328,ChrisBeaumont,5
329,myyc,5
330,LevN0,5
331,MatthieuDartiailh,5
332,donchanee,5
333,WarrenWeckesser,5
334,JelsB,5
335,alanbernstein,5
336,Aseem Bansal,5
337,RobinD42,5
338,lazka,5
339,johnnyEmpires,5
340,bingjeff,5
341,switham,5
342,FlorianRhiem,5
343,Ptrskay3,5
344,jayvdb,5
345,tkf,5
346,flothesof,5
347,openturns-appveyor,5
348,ocefpaf,5
349,cammil,5
350,ocastany,5
351,thangleiter,5
352,bblay,5
353,StefRe,5
354,cragm,5
355,JunTan,5
356,danielballan,5
357,nhmc,5
358,vbr,5
359,BHT,5
360,ResidentMario,5
361,AdamWill,5
362,egpbos,5
363,cover-me,5
364,simongibbons,4
365,e-q,4
366,simonpf,4
367,BrennanGit,4
368,epintozzi,4
369,aWinglessMonkey,4
370,abhinuvpitale,4
371,Zair Mubashar,4
372,Bharat123rox,4
373,wackywendell,4
374,Rickkwa,4
375,Andrea Bedini,4
376,Osarumwense,4
377,tohc1,4
378,f0k,4
379,vmarkovtsev,4
380,takluyver,4
381,xcz011,4
382,yongrenjie,4
383,Mottl,4
384,crazyo,4
385,crbates,4
386,danuo,4
387,Víctor Terrón,4
388,surana-mudit,4
389,ahaldane,4
390,Michaël Defferrard,4
391,Ulrich Dobramysl,4
392,djdt,4
393,curiale,4
394,Gabriel Munteanu,4
395,JayP16,4
396,Illviljan,4
397,msabramo,4
398,zhoubecky,4
399,rsnape,4
400,mscross,4
401,ColCarroll,4
402,rishikksh20,4
403,Hoxbro,4
404,high-in-entropy,4
405,hkucukdereli,4
406,rhattersley,4
407,rdimaio,4
408,HubertHolin,4
409,jaimefrio,4
410,gnaggnoyil,4
411,Craig M,4
412,Julien Lhermitte,4
413,pshriwise,4
414,jat255,4
415,jayjoshi112711,4
416,pierre-haessig,4
417,jeffreypaul15,4
418,pavoljuhas,4
419,kalagau,4
420,James A. Bednar,4
421,nils-werner,4
422,nickystringer,4
423,Lewn,4
424,jseabold,4
425,mherkazandjian,4
426,geib7592,4
427,fat-crocodile,4
428,mikhailov-work,4
429,sappelhoff,4
430,fuzzythecat,4
431,Fabian Kloosterman,4
432,Felix Nößler,4
433,Till Stensitzki,4
434,Eugene Yurtsev,4
435,Hans Dembinski,4
436,Ulrich J. Herter,3
437,ardieorden,3
438,EJEP,3
439,Phil Ruffwind,3
440,Scott Lawrence,3
441,andthum,3
442,Peter Williams,3
443,juan.gonzalez,3
444,andyfaff,3
445,aneda,3
446,Simon Cross,3
447,Jack Kelly,3
448,Pete Peterson,3
449,Pete Bachant,3
