,contributor_name,counts
0,GaelVaroquaux,1442
1,dohmatob,856
2,AlexandreAbraham,842
3,kchawla-pi,842
4,lesteve,608
5,KamalakerDadi,506
6,jeromedockes,502
7,bthirion,431
8,MartinPerez,296
9,pgervais,254
10,Alexandre Abraham,239
11,ahoyosid,178
12,aabadie,147
13,NicolasGensollen,145
14,Ben Cipollini,144
15,banilo,139
16,VirgileFritsch,122
17,pbellec,117
18,juhuntenburg,111
19,eickenberg,84
20,fliem,78
21,chrisgorgo,78
22,emdupre,76
23,salma1601,76
24,ja-che,63
25,jaquesgrobler,57
26,JeanKossaifi,54
27,Salma BOUGACHA,48
28,SylvainLan,47
29,Titan-C,45
30,DimitriPapadopoulos,34
31,illdopejake,32
32,tsalo,31
33,agramfort,31
34,miykael,31
35,arthurmensch,30
36,darya-chyzhyk,29
37,mjboos,29
38,Ronald Phlypo,28
39,alpinho,26
40,effigies,26
41,mrahim,24
42,Alexandre Abadie,22
43,larsoner,22
44,gkiar,20
45,Joaoloula,16
46,setina42,16
47,raamana,14
48,alexsavio,14
49,oesteban,14
50,Sylvain LANNUZEL,13
51,ainafp,12
52,tbng,12
53,Gilles86,12
54,Yannick Schwartz,11
55,geekypathak21,11
56,njchiang,11
57,souravsingh,10
58,jona-sassenhagen,9
59,dangom,8
60,Naereen,8
61,Craskermasker,8
62,fabianp,8
63,Mehdi Rahim,8
64,amadeuskanaan,8
65,jnecus,7
66,chrplr,7
67,thomasbazeille,7
68,htwangtw,7
69,alexisthual,6
70,wiheto,6
71,pierreglaser,6
72,RaphaelMeudec,6
73,poquirion,5
74,hcherkaoui,5
75,mih,5
76,Jean Kossaifi,5
77,rschmaelzle,5
78,TheChymera,5
79,SylvainTakerkart,5
80,SRSteinkamp,4
81,Fabian Pedregosa,4
82,kingjr,4
83,kshmelkov,4
84,robbisg,4
85,nagaflokhu,4
86,MENUET Romuald,4
87,josephsmann,4
88,sfvnielsen,3
89,rob-luke,3
90,Simon Steinkamp,3
91,MADHYASTHA Meghana,3
92,glemaitre,3
93,jerome-alexis_chevalier,3
94,Jason Gors,3
95,ZviBaratz,3
96,achamma723,3
97,adelavega,3
98,salma,3
99,ltetrel,3
100,cancan101,3
101,demianw,3
102,danjgale,3
103,jdkent,2
104,JLefortBesnard,2
105,kbonna,2
106,xgrg,2
107,Jerome Dockes,2
108,mekman,2
109,jehane,2
110,PeerHerholz,2
111,akshayah3,2
112,arokem,2
113,takhs91,2
114,dillonplunkett,2
115,reiningc,2
116,gifuni,2
117,foucault,2
118,erramuzpe,2
119,psadil,2
120,alexenge,2
121,ryanhammonds,1
122,vsoch,1
123,vagechirkov,1
124,tirkarthi,1
125,tvanasse,1
126,thompsonj,1
127,mwaskom,1
128,swaythe,1
129,mwegrzyn,1
130,orduek,1
131,AGrigis,1
132,dtyulman,1
133,mathias-sm,1
134,bpinsard,1
135,ariekahn,1
136,YSanchezAraujo,1
137,Vincent Michel,1
138,Shahnawaz Ahmed,1
139,Qin-Ming,1
140,Paula Sanz-Leon,1
141,LeSasse,1
142,Kshitij Chawla,1
143,JohnGriffiths,1
144,JohannesWiesner,1
145,Gael Varoquaux,1
146,Christophe Bedetti,1
147,ChristianGerloff,1
148,BAZEILLE Thomas,1
149,AkiNikolaidis,1
150,boredStats,1
151,celinede,1
152,kfinc,1
153,chouhanaryan,1
154,jrasero,1
155,jmargeta,1
156,jhlegarreta,1
157,jbteves,1
158,jayanthchandra,1
159,jakirkham,1
160,iglpdc,1
161,htygithub,1
162,greydongilmore,1
163,fkalbe,1
164,dvm-shlee,1
165,AKSoo,1
166,drammock,1
167,dPys,1
168,clfs,1
169,yarikoptic,1
