,contributor_name,counts
0,alalek,7382
1,vpisarev,2200
2,Andrey Kamaev,1860
3,Roman Donchenko,1317
4,Vladislav Vinogradov,1252
5,Vadim Pisarevsky,1094
6,ilya-lavrenov,934
7,mshabunin,848
8,asmorkalov,613
9,Alexey Spizhevoy,516
10,Anatoly Baksheev,427
11,Maria Dimashova,390
12,marina.kolpakova,381
13,dkurt,368
14,Alexander Shishkov,251
15,Andrey Pavlenko,207
16,terfendail,198
17,tomoaki0705,182
18,bitwangyaoyao,174
19,ozantonkal,170
20,Alexander Mordvintsev,162
21,Ilya Lysenkov,159
22,StevenPuttemans,159
23,akarsakov,152
24,Kirill Kornyakov,144
25,edgarriba,141
26,vbystricky,140
27,pengx17,139
28,Gary Bradski,130
29,berak,127
30,Marina Kolpakova,124
31,paroj,119
32,sovrasov,116
33,sturkmen72,112
34,hbristow,111
35,l-bat,108
36,savuor,102
37,Andrey Morozov,99
38,Ethan Rublee,94
39,LaurentBerger,94
40,Elena Gvozdeva,89
41,catree,82
42,Alexander Reshetnikov,81
43,TolyaTalamanov,75
44,Ana Huaman,72
45,Yannick Verdie,71
46,Konstantin Matskevich,70
47,Leonid Beynenson,65
48,pli2-intel,64
49,Alexander Smorkalov,62
50,obilaniu,57
51,YashasSamaga,57
52,cv3d,54
53,BloodAxe,54
54,csukuangfj,52
55,abak,49
56,albenoit,49
57,Daniil Osokin,48
58,Elena Fedotova,47
59,komakai,47
60,PhilLab,45
61,f-morozov,44
62,cuda-geek,43
63,seiko2plus,42
64,rgarnov,42
65,lupustr3,41
66,erikrk,41
67,pemmanuelviel,41
68,nghiaho12,40
69,dmatveev,39
70,Rahul Kavi,39
71,James Bowman,39
72,Victor Erukhimov,39
73,K-Shinotsuka,37
74,Alexandre Benoit,37
75,Philipp Wagner,35
76,OrestChura,34
77,Jin Ma,34
78,vrabaud,34
79,smirnov-alexey,33
80,Artur Wieczorek,33
81,Siddharthk,32
82,Exocoder,32
83,rogday,32
84,abidrahmank,32
85,Vincent Rabaud,31
86,nglee,31
87,anton-potapov,31
88,nailbiter,31
89,mpashchenkov,31
90,wiryls,30
91,Cartucho,30
92,znah,29
93,ernest-galbrun,29
94,Dikay900,28
95,lluisgomez,28
96,Marius Muja,28
97,mkostin,28
98,saskatchewancatch,27
99,Bernat Gabor,27
100,swook,25
101,dbudniko,25
102,Dmitry-Me,25
103,23pointsNorth,25
104,oresths,24
105,Hilton Bristow,24
106,Vsevolod Glumov,24
107,Vitaly Tuzov,23
108,Vladimir Dudnik,23
109,atinfinity,23
110,ElenaGvozdeva,23
111,wzw-intel,22
112,VadimLevin,22
113,pclove1,21
114,rokm,20
115,chacha21,20
116,vladimir-dudnik,20
117,Vladimir Bystricky,20
118,wangyan42164,19
119,Aaron Denney,19
120,mbarnach,19
121,Stefano Fabri,19
122,diablodale,19
123,Viet Dinh,19
124,mnoskova,18
125,itsyplen,18
126,GregoryMorse,18
127,ovidiuparvu,18
128,AsyaPronina,18
129,ChipKerchner,18
130,dtmoodie,17
131,Dan,17
132,kdrobnyh,17
133,apavlenko,17
134,take1014,17
135,krodyush,17
136,mlyashko,17
137,philippefoubert,17
138,Anna Kogan,17
139,allnes,17
140,cbalint13,17
141,NikoKJ,16
142,Evgeny Talanin,16
143,theg4sh,16
144,Andrey Golubev,16
145,Jason Newton,16
146,avdmitry,16
147,Woody Chow,16
148,Ilya Krylov,16
149,adishavit,15
150,anna-khakimova,15
151,LorenaGdL,14
152,sivanov-work,14
153,alekcac,14
154,Nerei,14
155,qchateau,13
156,LeonidBeynenson,13
157,superman32432432,13
158,nitsch,13
159,AleksandrPanov,13
160,elatkin,13
161,ippei-i,13
162,maksqwe,13
163,Anton Obukhov,13
164,Matthias Bady,12
165,es0m,12
166,JoeHowse,12
167,grundman,12
168,SamFC10,12
169,cyyever,12
170,abratchik,12
171,luzpaz,12
172,perping,12
173,ivan-korolev,11
174,eliteraspberries,11
175,hrnr,11
176,jperezrua,11
177,Dominik Rose,11
178,VBystricky,11
179,asmaloney,11
180,danielenricocahall,11
181,prattmic,11
182,urikz,11
183,Alexander Kapustin,11
184,prclibo,10
185,matze,10
186,mdim,10
187,Ashod,10
188,mzajko,10
189,cclauss,10
190,Ivan Korolev,10
191,ArkadiuszRaj,10
192,ilysenkov,10
193,Alexey Kazakov,10
194,arrybn,10
195,nisargthakkar,10
196,GArik,9
197,Ian Maquignaz,9
198,mrollins,9
199,arkunze,9
200,AoD314,9
201,yashdv,9
202,valeriyvan,9
203,wswld,9
204,pmur,9
205,Oleg Sklyarov,9
206,emchristiansen,9
207,OpenCV Buildbot,9
208,Yosshi999,9
209,sl-sergei,8
210,ilyachur,8
211,4ekmah,8
212,amroamroamro,8
213,theodore,8
214,Steven Puttemans,8
215,aleksandaratanasov,8
216,imalsogreg,8
217,hannesa2,8
218,LeszekSwirski,8
219,Vijay Pradeep,8
220,ruslo,8
221,rohitgirdhar,8
222,gpsinghsandhu,8
223,PkLab,8
224,Grigory Serebryakov,8
225,pentschev,8
226,elmarb,8
227,Anastasia Murzova,8
228,Tomoaki Teshima,7
229,aDanPin,7
230,kobigurk,7
231,Trundle,7
232,janstarzy,7
233,eladj,7
234,Tetragramm,7
235,adamrankin,7
236,adrians,7
237,Kevin Hughes,7
238,huningxin,7
239,SeninAndrew,7
240,ashishkrshrivastava,7
241,Nils Hasler,7
242,HapeMask,7
243,cabelo,7
244,EvgenyAgafonchikov,7
245,Sergiu Deitsch,7
246,dab0bby,7
247,aritzlc,7
248,euphrat,7
249,Cosmin Boaca,7
250,liuxing6666,7
251,thangktran,7
252,APrigarina,7
253,vinograd47,7
254,Adil-Ibragimov,7
255,NCBee,7
256,marvins,7
257,shengyu7697,7
258,Anastasia M,7
259,zchrissirhcz,7
260,Сергей Нужный,7
261,shimat,7
262,sbokov,7
263,magomimmo,6
264,Jose Luis Blanco,6
265,uwinsoftware,6
266,polarfuchs99,6
267,mattip,6
268,cudawarped,6
269,parafin,6
270,dhood,6
271,mehlukas,6
272,asashour,6
273,UnaNancyOwen,6
274,dmallia17,6
275,Francisco Facioni,6
276,fradelg,6
277,nzjrs,6
278,vskarlsruhe,6
279,mmaraya,6
280,sourin,6
281,songyuncen,6
282,seanm,6
283,snosov1,6
284,ganesh-k13,6
285,IshankGulati,6
286,crackwitz,6
287,teng88,6
288,Mathieu Barnachon,6
289,askourik,6
290,kalistratovag,6
291,arnaudbrejeon,6
292,bastelflp,6
293,a-andre,6
294,jlblancoc,6
295,khnaba,6
296,kamjagin,6
297,Patrik Huber,6
298,Zhigang Gong,6
299,utibenkei,6
300,Dirk Van Haerenborgh,6
301,pwuertz,6
302,Andreas Franek,6
303,Alexander Duda,6
304,MicheleCancilla,5
305,nickdademo,5
306,Legoless,5
307,alex77g2,5
308,Arkadiusz Raj,5
309,mself,5
310,Alexander Nesterov,5
311,alexgiving,5
312,TobyWanKenobi,5
313,alexey.spizhevoy,5
314,P. Druzhkov,5
315,andrey-golubev,5
316,Jan Starzynski,5
