,contributor_name,counts
0,jreback,4732
1,jbrockmendel,3624
2,wesm,3127
3,jorisvandenbossche,1211
4,y-p,943
5,TomAugspurger,713
6,cpcloud,607
7,simonjayhawkins,581
8,gfyoung,464
9,mroeschke,452
10,sinhrks,409
11,Chang She,384
12,adamklein,327
13,topper-123,300
14,phofl,270
15,jtratner,250
16,changhiskhan,246
17,WillAyd,245
18,ShaharNaveh,206
19,datapythonista,178
20,attack68,165
21,jschendel,163
22,hayd,160
23,rhshadrach,158
24,dsaxton,155
25,MarcoGorelli,137
26,fangchenli,125
27,mzeitlin11,118
28,orbitfold,111
29,Tom Augspurger,105
30,alimcmaster1,104
31,toobaz,92
32,charlesdong1991,89
33,jseabold,89
34,chris-b1,86
35,h-vetinari,85
36,shoyer,83
37,lodagro,77
38,twoertwein,74
39,arw2019,74
40,lithomas1,74
41,ivanovmg,67
42,bashtage,64
43,SaturnFromTitan,62
44,Dr-Irv,59
45,mortada,58
46,qwhelan,56
47,behzadnouri,54
48,takluyver,54
49,kawochen,49
50,Komnomnomnom,43
51,reidy-p,40
52,Dieter Vandenbussche,40
53,bwignall,38
54,avinashpancham,32
55,dsm054,32
56,makbigc,31
57,jankatins,31
58,rockg,30
59,gliptak,30
60,evanpw,29
61,immerrr,29
62,yarikoptic,29
63,davidastephens,27
64,stephenwlin,26
65,debnathshoham,26
66,JustinZhengBC,26
67,realead,25
68,thoo,25
69,erfannariman,24
70,danielballan,23
71,FHaase,23
72,Licht-T,22
73,ganevgv,22
74,moink,21
75,minggli,21
76,ryankarlos,21
77,danbirken,20
78,aflaxman,20
79,lexual,20
80,partev,20
81,Moisan,20
82,farhanreynaldo,18
83,pilkibun,18
84,AlexKirko,18
85,unutbu,18
86,kshedden,18
87,afeld,17
88,github-actions[bot],17
89,saurav-chakravorty,17
90,xhochy,17
91,Artemy Kolchinsky,16
92,roberthdevries,16
93,onesandzeroes,16
94,fujiaxiang,16
95,seth-p,15
96,ihsansecer,15
97,parthea,15
98,gwrome,15
99,snth,15
100,locojaydev,14
101,discort,14
102,sglyon,14
103,willpeppo,13
104,max-sixty,13
105,kernc,13
106,neirbowj,13
107,llllllllll,13
108,peterpanmj,13
109,vaibhavhrt,13
110,cancan101,13
111,Daniel Saxton,13
112,toddrjen,13
113,tommyod,12
114,PKEuS,12
115,smithto1,12
116,invisibleroads,12
117,Bharat123rox,12
118,guyrt,12
119,tswast,12
120,lbeltrame,12
121,funnycrab,11
122,khughitt,11
123,proost,11
124,GuessWhoSamFoo,11
125,dhimmel,11
126,nbonnotte,11
127,anmyachev,11
128,terrytangyuan,11
129,GYHHAHA,11
130,rosnfeld,10
131,ArtificialQualia,10
132,charliec443,10
133,cbertinato,10
134,hongshaoyang,10
135,yui-knk,10
136,blais,10
137,alexander-ponomaroff,10
138,Anjali2019,10
139,AaronCritchley,10
140,dalejung,10
141,felixDulys,10
142,erictleung,10
143,albertvillanova,10
144,jmcnamara,10
145,gdraps,10
146,Nick Eubank,10
147,glyg,9
148,cleconte987,9
149,3vts,9
150,Kevin Sheppard,9
151,michaelaye,9
152,Christopher C. Aycock,9
153,alefnula,9
154,DriesSchaumont,9
155,CloseChoice,9
156,Jonathan Chambers,8
157,IHackPy,8
158,ahawryluk,8
159,KalyanGokhale,8
160,HughKelley,8
161,jnothman,8
162,RaisaDZ,8
163,jnmclarty,8
164,miketkelly,8
165,jsexauer,8
166,nipunbatra,8
167,alysivji,8
168,blbradley,8
169,OlivierLuG,8
170,adamjstewart,8
171,01-vyom,8
172,vnlitvinov,8
173,varunkumar-dev,8
174,dieterv77,7
175,clham,7
176,Mikhaylov-yv,7
177,Vlek,7
178,pijucha,7
179,mdmueller,7
180,Giftlin,7
181,Winterflower,7
182,bjonen,7
183,mattip,7
184,scls19fr,7
185,r-toroxel,7
186,sameshl,7
187,xcz011,7
188,themien,7
189,rushabh-v,7
190,westurner,7
191,Christopher Whelan,7
192,filmor,7
193,ftrihardjo,7
194,tkf,7
195,nrebena,7
196,quangngd,7
197,hexgnu,7
198,tacaswell,6
199,Thomas Dickson,6
200,Garrett-R,6
201,dbew,6
202,jeffcarey,6
203,MicaelJarniac,6
204,deepyaman,6
205,HH-MWB,6
206,rebecca-palmer,6
207,lespaul,6
208,rbenes,6
209,stijnvanhoey,6
210,krajatcl,6
211,stephen-hoover,6
212,shawnheide,6
213,ginggs,6
214,ma3da,6
215,smartvinnetou,6
216,oguzhanogreden,6
217,mwoss,6
218,Nicolas Bonnotte,6
219,almaleksia,6
220,aa1371,6
221,ischwabacher,6
222,ZhuBaohe,6
223,uds5501,6
224,mproszewska,6
