,contributor_name,counts
0,ezyang,1620
1,soumith,1144
2,gchanan,1084
3,jerryzh168,891
4,apaszke,886
5,malfet,756
6,zdevito,635
7,colesbury,626
8,Yangqing,618
9,zou3519,597
10,jamesr66a,571
11,smessmer,562
12,suo,533
13,Elias Ellison,455
14,SsnL,451
15,rohan-varma,434
16,zasdfgbnm,394
17,pietern,391
18,bwasti,388
19,ZolotukhinM,384
20,vkuzo,383
21,bddppq,377
22,houseroad,369
23,yf225,328
24,peterjc123,324
25,albanD,318
26,mrshenli,317
27,akyrola,316
28,swolchok,315
29,goldsborough,312
30,svcscm,310
31,xuhdev,309
32,peterbell10,296
33,onnxbot,292
34,ngimel,292
35,seemethere,271
36,yinghai,265
37,janeyx99,252
38,supriyar,240
39,wanchaol,237
40,lw,233
41,Ailing Zhang,231
42,kshitij12345,223
43,pritamdamania,222
44,mruberry,221
45,jspark1105,220
46,ilia-cher,212
47,BowenBao,208
48,z-a-f,207
49,killeent,204
50,dzhulgakov,202
51,Richard Barnes,194
52,ljk53,192
53,bertmaher,189
54,hlu1,185
55,Krovatkin,183
56,vishwakftw,182
57,Meghan Lele,180
58,Yi Wang,176
59,t-vi,169
60,mingzhe09088,168
61,davidriazati,163
62,IvanKobzarev,162
63,pjh5,158
64,kimishpatel,158
65,xta0,153
66,xiaomengy,152
67,Mike Ruberry,150
68,samestep,148
69,David Riazati,146
70,orionr,145
71,anjali411,141
72,pbelevich,141
73,andresy,140
74,li-roy,135
75,IvanYashchuk,131
76,dreiss,129
77,bdhirsh,127
78,VitalyFedyunin,115
79,Rong Rong (AI Infra),114
80,iotamudelta,108
81,navahgar,107
82,cpuhrsch,106
83,facebook-github-bot,103
84,soulitzer,100
85,jeffdaily,100
86,lukeyeager,100
87,slayton58,99
88,ejguan,97
89,osalpekar,97
90,anderspapitto,95
91,jianyuh,92
92,teng-li,92
93,heitorschueroff,91
94,Chillee,91
95,salexspb,89
96,zhaojuanmao,88
97,neginraoof,87
98,izdeby,81
99,Hector Yuen,80
100,xush6528,79
101,Ashkan Aliabadi,78
102,xwang233,78
103,jjsjann123,78
104,kittipatv,77
105,kurtamohler,76
106,XiaobingSuper,75
107,iseeyuan,75
108,pmeier,74
109,mikeiovine,74
110,harouwu,73
111,clementfarabet,72
112,gmagogsfm,71
113,andreaskoepf,70
114,koraykv,69
115,ajtulloch,69
116,Ahmed Taei,67
117,ifedan,67
118,nickgg,66
119,Marat Dukhan,66
120,kennyhorror,65
121,jjlilley,65
122,Owen Anderson,65
123,cbalioglu,64
124,raghuramank100,63
125,kostmo,62
126,842974287,61
127,fmassa,61
128,dhruvbird,60
129,Fei Sun,60
130,VirrageS,59
131,driazati,59
132,nikitaved,59
133,thomasjpfan,58
134,Ansley Ussery,58
135,aazzolini,57
136,dskhudia,57
137,H-Huang,56
138,linbinyu,55
139,mcarilli,55
140,Lezcano,54
141,bhosmer,54
142,cccclai,54
143,xianjiec,53
144,lantiga,53
145,lara-hdr,52
146,dominikgrewe,52
147,csarofeen,51
148,Joel Schlosser,50
149,sjeaugey,50
150,fritzo,50
151,nairbv,50
152,Rong Rong,50
153,lixinyu,49
154,Jokeren,49
155,Xiaodong Wang,48
156,nikithamalgifb,47
157,Lilyjjo,47
158,mattip,46
159,ajyu,46
160,wconstab,45
161,duc0,45
162,viswanathgs,45
163,robieta,45
164,lly-zero-one,44
165,iramazanli,44
166,csummersea,44
167,ChunliF,43
168,jhcross,42
169,aivanou,42
170,chocjy,42
171,ysiraichi,42
172,axitkhurana,41
173,alykhantejani,41
174,rgommers,41
175,guilhermeleobas,41
176,JacobSzwejbka,41
177,Freey0,41
178,SS-JIA,41
179,Natalia Gimelshein,41
180,nicholas-leonard,40
181,syed-ahmed,40
182,krshrimali,38
183,huiguoo,38
184,mingfeima,38
185,d1jang,38
186,andrewwdye,38
187,vfdev-5,37
188,NivekT,37
189,Martin Yuan,37
190,adamlerer,37
191,imaginary-person,37
192,Spandan Tiwari,36
193,zhouzhuojie,36
194,weiyangfb,36
195,Brennan Vincent,36
196,szagoruyko,36
197,gujinghui,36
198,Priya Goyal,35
199,definitelynotmcarilli,35
200,v0dro,34
201,jithunnair-amd,34
202,Iurii Zdebskyi,34
203,xcheng16,34
204,wesolwsk,33
205,borisfom,32
206,venkatacrc,31
207,pearu,31
208,simpkins,31
209,crcrpar,31
210,enosair,31
211,hx89,30
212,zrphercule,30
213,rohithkrn,30
214,Xiaolong Wang,30
215,jfix71,29
