,contributor_name,counts
0,ogrisel,2391
1,amueller,2072
2,Gael Varoquaux,1769
3,Fabian Pedregosa,1596
4,larsmans,1265
5,agramfort,1085
6,glouppe,936
7,pprett,860
8,mblondel,778
9,vene,775
10,jnothman,771
11,arjoly,580
12,thomasjpfan,550
13,Jaques Grobler,362
14,jakevdp,346
15,MechCoder,313
16,glemaitre,307
17,qinhanmin2014,264
18,NicolasHug,250
19,lesteve,247
20,NelleV,238
21,robertlayton,233
22,jmetzen,210
23,Brian Holt,198
24,Noel Dawe,187
25,adrinjalali,165
26,raghavrv,140
27,jeremiedbb,137
28,ahojnnes,137
29,rth,132
30,dengemann,111
31,weilinear,109
32,TomDLT,107
33,clayw,103
34,kemaleren,100
35,oddskool,95
36,AlexanderFabisch,90
37,alextp,87
38,bthirion,85
39,cmarmo,84
40,VirgileFritsch,83
41,dsullivan7,82
42,hamsal,82
43,alfaro96,79
44,ibayer,72
45,Vincent Michel,71
46,lucyleeow,69
47,ronw,63
48,FlorianWilhelm,63
49,maheshakya,58
50,jmloyola,58
51,satra,58
52,mjbommar,51
53,genvalen,50
54,franslarsson,49
55,nelson-liu,48
56,Edouard DUCHESNAY,45
57,yarikoptic,45
58,betatim,43
59,kastnerkyle,42
60,hlin117,40
61,conradlee,39
62,Florian Wilhelm,39
63,cbrnr,38
64,NicolasTr,38
65,Titan-C,38
66,paolo-losi,38
67,zaxtax,37
68,dubourg,37
69,lucidfrontier45,36
70,JeanKossaifi,36
71,untom,35
72,chyikwei,35
73,yenchenlin,35
74,trevorstephens,34
75,npinto,34
76,alexis-mignon,32
77,pgervais,32
78,eickenberg,32
79,kmike,31
80,jorisvandenbossche,31
81,albertcthomas,31
82,jjerphan,30
83,jaberg,27
84,Yannick Schwartz,26
85,Matthieu Perrot,25
86,michigraber,25
87,Yann N. Dauphin,25
88,maikia,24
89,lorentzenchr,24
90,syhw,23
91,Giorgio Patrini,23
92,jakirkham,22
93,pberkes,22
94,Maheshakya Wijewardena,22
95,alexhenrie,22
96,sameshl,21
97,nmayorov,21
98,dwf,21
99,dnouri,20
100,justinvf,19
101,Balu-Varanasi,19
102,ngoix,19
103,aymas,19
104,rasbt,19
105,chkoar,19
106,wdevazelhes,18
107,tguillemot,18
108,yanlend,18
109,vinayak-mehta,18
110,AWinterman,18
111,mvdoc,18
112,erg,18
113,azihna,17
114,tjanez,17
115,perimosocordiae,17
116,davidmarek,17
117,osdf,17
118,themrmax,17
119,naoyak,17
120,smoitra87,17
121,Clemens Brunner,16
122,baam25simo,16
123,Sebastian Saeger,16
124,albertvillanova,16
125,massich,16
126,s8wu,16
127,marenwestermann,16
128,dalmia,15
129,vighneshbirodkar,15
130,venkyyuvy,15
131,akshayah3,15
132,briancheung,15
133,sergeyf,15
134,Bharat123rox,15
135,yamins81,14
136,remyleone,14
137,ldirer,13
138,Christian Lorentzen,13
139,DatenBiene,13
140,tomMoral,13
141,DimitriPapadopoulos,13
142,devashishd12,13
143,oleksandr-pavlyk,13
144,rlmv,13
145,thechargedneutron,12
146,kernc,12
147,kyleabeauchamp,12
148,alexitkes,12
149,olologin,11
150,reshamas,11
151,embandera,11
152,Nikolay Mayorov,11
153,djsutherland,11
154,Reshama Shaikh,11
155,amy12xx,11
156,bwignall,11
157,justmarkham,11
158,mrjbq7,11
159,johannah,11
160,maniteja123,11
161,Robert,11
162,Naereen,11
163,mrshu,10
164,kno10,10
165,rishikksh20,10
166,b0noI,10
167,EricEllwanger,10
168,Jim-Holmstroem,10
169,ClimbsRocks,10
170,JohnBoersma,10
171,jblackburne,10
172,jrbourbeau,10
173,coreylynch,10
174,jmschrei,10
175,Amit Aides,9
176,aashil,9
177,Phil Roth,9
178,taehoonlee,9
179,cgsavard,9
180,duckworthd,9
181,fcostin,9
182,fzalkow,9
183,herilalaina,9
184,haiatn,9
185,sveneschlbeck,9
186,gxyd,8
187,maskani-moh,8
188,hbredin,8
189,g4brielvs,8
190,Jacob Schreiber,8
191,rmcgibbo,8
192,fannix,8
193,artsobolev,8
194,ajschumacher,8
195,Johann Faouzi,8
196,hsuantien,8
197,jotasi,8
198,andy,8
199,hugobowne,8
200,agamemnonc,8
201,eltermann,8
202,hongshaoyang,8
203,hrishikeshio,8
204,AlexisMignon,8
205,SebastinSanty,8
206,ugurthemaster,8
207,Vincent Schut,8
208,xuewei4d,8
209,zjpoh,8
210,ankit-maverick,7
211,jwkvam,7
212,ihaque,7
213,btabibian,7
214,FedericoV,7
215,almet,7
216,simonamaggio,7
217,njwilson,7
218,WeatherGod,7
219,willingc,7
220,Alexandre Abraham,7
221,mth4saurabh,7
222,Jeffrey04,7
223,lmcinnes,7
224,buma,7
225,smarie,7
226,nuka137,7
227,mandjevant,7
228,ohe,7
229,madhuracj,7
230,johannfaouzi,7
231,dubstack,7
232,OlehKSS,7
233,Denis A. Engemann,7
234,emmanuelle,7
235,josephsalmon,7
236,janvanrijn,6
237,Thomas Unterthiner,6
238,harupy,6
239,Chen Liu,6
240,muokicaleb,6
241,aabadie,6
242,Igor Andriushchenko,6
243,Rob Speer,6
244,tnunes,6
245,ilam,6
246,x0l,6
247,PSSF23,6
248,larsoner,6
249,Stephen Hoover,6
250,Steven De Gryze,6
251,tirthasheshpatel,6
252,Stéphane Couvreur,6
253,Ankit810,6
254,sabba,6
255,galv,6
256,waterponey,6
257,mlondschien,6
258,sergulaydore,6
259,mluessi,6
260,sadakmed,6
261,mathurinm,6
262,mohaseeb,6
263,sdegryze,6
264,lopusz,6
265,bcajes,6
266,rushabh-v,6
267,bmanohar16,6
268,Andrew Lamb,5
269,Pinky-Chaudhary,5
270,mattilyra,5
271,hs-nazuna,5
272,martinoywa,5
273,mani2106,5
274,Aerlinger,5
275,t-kusanagi2,5
276,Attractadore,5
277,chang,5
278,acganesh,5
279,pierreglaser,5
280,martinosorb,5
281,vrishank97,5
282,MaxwellLZH,5
283,mbillingr,5
284,alexshacked,5
285,dohmatob,5
286,Tim Sheerman-Chase,5
287,Martin Billinger,5
288,ankishb,5
289,tokoroten,5
290,Minghui Liu,5
291,nealchau,5
292,astaric,5
293,minggli,5
294,luispedro,5
295,nixphix,5
296,b-carter,5
297,bmaisonn,5
298,blagarde,5
299,lodurality,5
300,abatula,5
301,cgohlke,5
302,siavrez,5
303,raulgarreta,5
304,cmd-ntrf,5
305,clamus,5
306,daien,5
307,kaichogami,5
308,ckastner,5
309,jkarno,5
310,Christophe Bourguignat,5
311,zitorelova,5
312,Batalex,5
313,Vivek Kumar,5
314,chritter,5
315,kianho,5
316,rajatkhanduja,5
317,sseg,5
318,srivatsan-ramesh,4
319,zhaofeng-shu33,4
320,sply88,4
321,bryandeng,4
322,superbobry,4
323,aarshayj,4
324,vincentpham1991,4
325,unknown,4
326,fishcorn,4
327,reiinakano,4
328,ApproximateIdentity,4
329,btel,4
330,TomAugspurger,4
331,thouis,4
332,didibz,4
333,PGryllos,4
334,IshankGulati,4
335,apw,4
336,jhlegarreta,4
337,musically-ut,4
338,jseabold,4
339,avigupta2612,4
340,samuelstjean,4
341,Isaack Mungui,4
342,samwaterbury,4
343,lrjball,4
344,Erotemic,4
345,saketkc,4
346,judithabk6,4
347,JarnoRFB,4
348,Anaël Beaugnon,4
349,mohamed-ali,4
350,TakingItCasual,4
351,rubywerman,4
352,mrbeann,4
353,Charlie Brummitt,4
354,toastedcornflakes,4
355,arthurmensch,4
356,lobpcg,4
357,rtlee9,4
358,guyrt,4
359,cjauvin,4
360,kcarnold,4
361,Alexandre Boucaud,4
362,kgeis,4
363,cclauss,4
364,Srimukh Sripada,4
365,manu-chroma,4
366,sergiopasra,4
367,shivamgargsya,4
368,Alexandre Abadie,4
