,contributor_name,counts
0,tensorflower-gardener,33908
1,yongtang,1353
2,gunan,1348
3,A. Unique TensorFlower,1340
4,caisq,1251
5,mrry,1154
6,benoitsteiner,1046
7,vrv,1039
8,hawkinsp,1002
9,mihaimaruseac,1002
10,jpienaar,911
11,River707,887
12,sanjoy,886
13,qlzh727,844
14,av8ramit,841
15,martinwicke,797
16,yifeif,788
17,Raman Sarokin,746
18,cheshire,744
19,akuegel,730
20,Justin Lebar,715
21,allenlavoie,708
22,mdanatg,687
23,jsimsa,640
24,ebrevdo,636
25,alextp,628
26,annarev,605
27,smit-hinsu,602
28,joker-eph,535
29,d0k,533
30,MarkDaoust,528
31,andyly,518
32,advaitjain,500
33,ezhulenev,471
34,aaroey,467
35,jaingaurav,446
36,asimshankar,436
37,jdduke,435
38,Akshay Modi,426
39,skye,424
40,rchao,423
41,rohan100jain,421
42,nicolasvasilache,418
43,deven-amd,417
44,chsigg,416
45,antiagainst,416
46,fchollet,397
47,nouiz,395
48,aaudiber,384
49,karimnosseir,381
50,yunxing,377
51,feihugis,375
52,ilblackdragon,374
53,reedwm,371
54,liufengdb,369
55,petewarden,365
56,Frank Chen,365
57,lrdxgm,341
58,edloper,336
59,abattery,334
60,timshen91,332
61,suharshs,331
62,renjie-liu,330
63,crccw,324
64,pavithrasv,324
65,saxenasaurabh,320
66,ftynse,316
67,jurahul,305
68,yuefengz,304
69,terrytangyuan,304
70,pifon2a,301
71,bixia1,300
72,tanzhenyu,297
73,xiejw,295
74,sherhut,294
75,kaixih,290
76,multiverse-tf,288
77,Jonathan Hseu,286
78,facaiy,286
79,ukoxyz,284
80,miaout17,281
81,kvignesh1420,280
82,k-w-w,278
83,aselle,271
84,psrivas2,270
85,bmzhao,269
86,jianlijianli,267
87,andrewharp,259
88,majnemer,256
89,vnghia,252
90,terryheo,248
91,case540,244
92,angerson,242
93,kenfranko,238
94,frreiss,236
95,thaink,230
96,trevor-m,229
97,gargn,228
98,njeffrie,223
99,haozha111,222
100,omalleyt12,221
101,blakehechtman,220
102,teijeong,213
103,ispirmustafa,212
104,rjpower,210
105,rxsang,207
106,nairb774,207
107,Uday Bondhugula,207
108,haoyuz,206
109,benbarsdell,202
110,wwwind,202
111,jbaiocchi,198
112,lattner,198
113,qqfish,197
114,bjacob,196
115,girving,193
116,mahmoud-abuzaina,192
117,srjoglekar246,190
118,jart,189
119,iganichev,189
120,superbobry,187
121,tpopp,187
122,yashk2810,186
123,dsmilkov,185
124,Rachel Lim,184
125,SamuelMarks,184
126,hyeygit,183
127,zhangyaobit,182
128,freedomtan,181
129,dubey,177
130,bhack,177
131,berkinilbeyi,177
132,Sourabh Bajaj,177
133,tfeher,176
134,lamberta,176
135,meheffernan,175
136,gmagogsfm,174
137,sun51,174
138,lgeiger,170
139,fergushenderson,166
140,saeta,166
141,decentralion,162
142,samikama,159
143,tg-at-google,157
144,langmore,157
145,anj-s,156
146,penpornk,150
147,jray319,148
148,dnguyen28061,146
149,wangpengmit,146
150,Maratyszcza,146
151,Patrick Nguyen,146
152,jvdillon,145
153,er91,145
154,trentlo,145
155,kkimdev,145
156,jayxiaojieshi,145
157,zhangyujing,143
158,WindQAQ,142
159,siju-samuel,141
160,yhliang2018,141
161,guptapriya,139
162,gzmkl,138
163,GMNGeoffrey,138
164,MeghnaNatraj,137
165,tomerk,136
166,Nick Kreeger,133
167,Revan Sopher,130
168,mansnils,129
169,isaprykin,128
170,concretevitamin,127
171,wangtz,127
172,agramesh1,126
173,shashishekhar,125
174,josh11b,124
175,shivaniag,124
176,nammbash,123
177,keveman,122
178,Pooya Davoodi,122
179,Amit Srivastava,121
180,tomhennigan,121
181,rryan,121
182,impjdi,118
183,akshayka,117
184,yair-ehrenwald,116
185,nhasabni,116
186,whchung,115
